The Reflective Zone,The Fun Zone,The Thought-Provoking Zone
Who is someone you look up to?,Where do you see yourself in the next 5 years?,How do you think you are able to reach your maximum potential?
How do you think your future self will remember your current self?,Tell me the 3 best things about you.,What should be humanity’s goal?
"When did you screw everything up, but no one ever found out it was you?","On a scale of 1-10, how strict are/were your parents?","Should everyone on the planet be striving toward a common goal? If so, what would that be?"
What have you gotten away with? How sneaky were you when you were younger? Or was it something recent that you messed up and got away with?,Who was your worst teacher? Why?,"Can you think of something that everyone could agree on, despite the chaotic world we live in?"
What would you name your boat if you had one?,Who was your favorite teacher? Why?,How will humans become extinct?
What will finally break the internet?,"Which would you pick: being world-class attractive, a genius or famous for doing something great?",Will it be an environmental disaster? A rampant disease? Or maybe you think a meteor will hit the earth that is large enough to ruin the entire planet.
What celebrity would you rate as a perfect 10?,Who are the 3 greatest living musicians?,"Do you think humans will last another 1,000 years?"
Which fictional character would be the most boring to meet in real life?,"If you could change one thing about yourself, what would it be?","If you could teach the entire world just one concept, what would it be?"
What is the best and worst purchases you’ve ever made?,What was your favorite toy growing up?,What concept do you think could have the most significant positive impact on humanity?
"If you had to change your name, what would your new name be, and why would you choose that name?",Name 3 celebrities you most admire.,Is mankind going in the right or wrong direction?
What are some things that sound like compliments but are actually insults?,Name a celebrity you think is lame.,Have humans figured out how to keep progressing towards something better?
What’s a body part that you wouldn’t mind losing?,What accomplishment are you most proud of?,Or are we moving backward and should revert back to the values and lifestyles of those who lived before us?
What’s your biggest screw up in the kitchen?,Which of your friends are you proudest of? Why?,Is it better for someone to have a wide range of superficial knowledge or deep knowledge about a few things?
What’s the worst commercial you’ve recently seen? Why is it so bad?,What’s the most beautiful place you’ve ever been?,"What if there were no professionals in any given subject, but everyone knew a little bit about everything?"
What’s the closest thing to real magic?,What are your 3 favorite movies?,How can we judge ourselves by our intentions yet judge others by their actions?
What is the craziest thing one of your teachers has done?,How would you describe me to your friends?,Can we ever believe someone when they say their intentions are different from their actions? What if someone’s intentions were truly transparent?
Who is the messiest person you know?,Which historical figure would you like to be?,What is the biggest waste of human potential?
"What problem or situation did TV/movies make you think would be common, but when you grew up you found out it wasn’t?",What’s the right age to get married?,"There are so many possible answers to this question, but which do you believe is the truest?"
What quote or saying do people spout but are complete BS?,Tell me 3 things you remember about kindergarten.,Is it not sharing your wisdom with other people? Not spreading knowledge? Is it engaging in traditional schooling where children are confined to desks for most of the day?
What’s something your brain tries to make you do and you have to will yourself not to do it?,What paper that you’ve written are you most proud of?,Why are people resistant to doing things that we know are healthy but crave things that are detrimental to our health?
What is the dumbest way you’ve been injured?,What would you do if you were invisible for a day?,What if one of your long-held memories isn’t actually completely true? Does it matter?
"If you could know the absolute and total truth to one question, what question would you ask?",Who would you like to live like for a day?,Can you think of times where you have felt completely sure of something but someone tells you otherwise?
What’s the most interesting thing you’ve read or seen this week?,"If you could time travel, where would you go?",What harsh truths do you prefer to ignore?
What ridiculous thing has someone tricked you into doing or believing?,"If you could live in any TV home, what would it be?",Is free will real or just an illusion?
"If you were given a one-minute ad slot during the Super Bowl that you couldn’t sell, what would you fill it with?",What’s your favorite ice cream flavor?,"Is there a meaning to life? If so, what is it?"
What’s the most useless talent you have?,Would you rather live for a week in the past or the future?,Is the meaning of life the same for animals and humans?
What would be on the gag reel of your life?,What’s your most embarrassing childhood memory?,Where is the line between art and not art?
Where is the worst smelling place you’ve been?,What’s your best childhood memory?,"If someone you loved was killed in front of you, but someone created a copy of them that was perfect right down to the atomic level, would they be the same person and would you love them just as much?"
,What’s your favorite holiday?,"Does fate exist? If so, do we have free will?"
,"If you could eat only 3 foods for the rest of your life, what would they be?",What does it mean to live a good life?
,"If you could be a cartoon character for a week, who would you be?",Why do we dream?
,"If you could have dinner with anyone from history, who would it be?",Is it possible to live a normal life and not ever tell a lie?
,What’s one choice you really regret?,Does a person’s name influence the person they become?
,What’s your favorite childhood book?,What should be the goal of humanity?
,What’s a great book you’ve read recently?,"If you could become immortal on the condition you would NEVER be able to die or kill yourself, would you choose immortality?"
,Do you feel like a leader or a follower?,How will humans as a species go extinct?
,"If you could ask your pet 3 questions, what would they be?",What actions in your life will have the longest reaching consequences? How long will those effects be felt?
,What’s the most courageous thing you’ve ever done?,How long will you be remembered after you die?
,Who would play you in a movie of your life?,"If a child somehow survived and grew up in the wilderness without any human contact, how “human” would they be without the influence of society and culture?"
,"If you could be an Olympic athlete, in what sport would you compete?",Where does your self-worth come from?
,"If you had to live in a different state, what would it be?",How would humanity change if all humans’ life expectancy was significantly increased (let’s say to around 500 years)?
,,Where do you find meaning in your life?
,,What do you think would be humanity’s reaction to the discovery of extraterrestrial life?
,,Will religion ever become obsolete?
,,"If you could teach everyone in the world one concept, what concept would have the biggest positive impact on humanity?"
,,Is suffering a necessary part of the human condition? What would people who never suffered be like?
,,"Does hardship make a person stronger? If so, under what conditions and at what point is it too much hardship? If not, what makes a person stronger?"
,,Would things get better or worse if humans focused on what was going well rather than what’s going wrong?
,,What benefits does art provide society? Does art hurt society in any way?
